season_name,census_date_start,census_date_end,census_days,surveyed_san_telmo,header_notes,research_program,header_id
2017/18,2017-12-15,2017-12-15,1,TRUE,,USAMLR,108
2017/18,2017-12-22,2017-12-22,1,TRUE,,USAMLR,109
2017/18,2017-12-29,2017-12-30,2,TRUE,,USAMLR,110
2017/18,2018-01-05,2018-01-05,1,TRUE,,USAMLR,111
2017/18,2018-01-13,2018-01-13,1,TRUE,,USAMLR,112
2017/18,2018-01-19,2018-01-19,1,TRUE,,USAMLR,113
2017/18,2018-01-26,2018-01-26,1,TRUE,,USAMLR,114
2017/18,2018-02-02,2018-02-02,1,TRUE,,USAMLR,115
2017/18,2018-02-09,2018-02-09,1,TRUE,,USAMLR,116
2017/18,2018-02-16,2018-02-16,1,TRUE,,USAMLR,117
2017/18,2018-02-23,2018-02-23,1,TRUE,,USAMLR,118
2017/18,2018-03-02,2018-03-02,1,TRUE,,USAMLR,119
2017/18,2018-03-09,2018-03-09,1,TRUE,,USAMLR,120
2018/19,2018-12-21,2018-12-21,1,FALSE,,USAMLR,121
2018/19,2018-12-28,2018-12-28,1,TRUE,,USAMLR,122
2018/19,2019-01-04,2019-01-04,1,TRUE,,USAMLR,123
2018/19,2019-01-11,2019-01-11,1,TRUE,,USAMLR,124
2018/19,2019-01-18,2019-01-18,1,TRUE,,USAMLR,125
2018/19,2019-01-25,2019-01-25,1,TRUE,,USAMLR,126
2018/19,2019-02-01,2019-02-01,1,TRUE,,USAMLR,127
2018/19,2019-02-08,2019-02-08,1,TRUE,,USAMLR,128
2018/19,2019-02-15,2019-02-15,1,TRUE,,USAMLR,129
2018/19,2019-02-22,2019-02-22,1,TRUE,,USAMLR,130
2018/19,2019-03-01,2019-03-01,1,TRUE,,USAMLR,131
2018/19,2019-03-08,2019-03-08,1,TRUE,,USAMLR,132
2019/20,2019-12-13,2019-12-13,1,FALSE,,USAMLR,133
2019/20,2019-12-20,2019-12-20,1,TRUE,,USAMLR,134
2019/20,2019-12-27,2019-12-27,1,TRUE,,USAMLR,135
2019/20,2020-01-03,2020-01-03,1,TRUE,,USAMLR,136
2019/20,2020-01-10,2020-01-10,1,TRUE,,USAMLR,137
2019/20,2020-01-17,2020-01-17,1,TRUE,,USAMLR,138
2019/20,2020-01-24,2020-01-24,1,TRUE,,USAMLR,139
2019/20,2020-01-31,2020-01-31,1,TRUE,,USAMLR,140
2019/20,2020-02-07,2020-02-07,1,TRUE,,USAMLR,141
2019/20,2020-02-14,2020-02-14,1,TRUE,,USAMLR,142
2019/20,2020-02-21,2020-02-21,1,TRUE,,USAMLR,143
2019/20,2020-02-28,2020-02-28,1,TRUE,,USAMLR,144
2019/20,2020-03-06,2020-03-06,1,TRUE,,USAMLR,145
2021/22,2021-11-26,2021-11-26,1,TRUE,,USAMLR,146
2021/22,2021-12-02,2021-12-02,1,TRUE,,USAMLR,147
2021/22,2021-12-10,2021-12-10,1,TRUE,,USAMLR,148
2022/23,2022-12-03,2022-12-03,1,TRUE,,USAMLR,175
2022/23,2022-12-09,2022-12-09,1,TRUE,,USAMLR,176
2022/23,2022-12-16,2022-12-16,1,TRUE,,USAMLR,177
2022/23,2022-12-30,2022-12-31,2,TRUE,,USAMLR,178
2022/23,2023-01-06,2023-01-06,1,TRUE,,USAMLR,179
2022/23,2023-01-13,2023-01-13,1,TRUE,,USAMLR,180
2022/23,2023-01-20,2023-01-20,1,TRUE,,USAMLR,181
2022/23,2023-01-27,2023-01-27,1,TRUE,,USAMLR,182
2022/23,2023-02-03,2023-02-03,1,TRUE,,USAMLR,183
2022/23,2023-02-10,2023-02-10,1,TRUE,Very rainy,USAMLR,184
