"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id","research_program","notes"
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"El Plastico, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Larga",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Marko",,"Crabeater seal",1,,0,1,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Media Luna",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Modulo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Nibaldo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Papua",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Pinochet de la Barra",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Roquerio",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Aranda",,"Elephant seal",19,,7,0,,0,0,,9,,,,3,,,"1997/98-3",,"INACH","pups: 0 females; 9 malesNA unknowns"
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Bahamonde",,"Elephant seal",1,,0,1,,0,0,,0,,,,0,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Ballena Norte",,"Elephant seal",9,,0,7,,0,0,,0,,,,2,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Chungungo",,"Elephant seal",9,,4,0,,0,5,,0,,,,0,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"del Canal, Playa",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"El Plastico, Playa",,"Elephant seal",2,,1,0,,0,0,,0,,,,1,,,"1997/98-3",,"INACH",
"1997/98","1997-12-24","1997-12-24",FALSE,,"1997-12-24",,,"Larga",,"Elephant seal",48,,0,0,,4,40,,3,,,,1,,,"1997/98-3",,"INACH","pups: 2 females; 1 malesNA unknowns"
